,movieId,title,genres
257,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
932,953,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance
1108,1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
1166,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1168,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
1171,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
1179,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1223,1256,Duck Soup (1933),Comedy|Musical|War
2867,2959,Fight Club (1999),Action|Crime|Drama|Thriller
2908,3000,Princess Mononoke (Mononoke-hime) (1997),Action|Adventure|Animation|Drama|Fantasy
7028,7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
8988,26776,Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),Adventure|Animation|Comedy|Fantasy|Romance
12429,60069,WALLÂ·E (2008),Adventure|Animation|Children|Romance|Sci-Fi
