Film_title(release_year),Description,Director_Name
Booksmart(2019), An unfiltered comedy about high school best friends and the bonds we create that lasts a lifetime,Olivia Wilde
Captain Marvel(2019),A 2019 American superhero film based on the Marvel Comics character Carol Danvers,Anna Boden
A Beautiful Day in the Neighborhood(2019),"A timely story of kindness triumphing over cynicism, based on the true story of a real-life friendship ",Marielle Heller
Blinded by the Light(2019),inspired by the life of journalist Sarfraz Manzoor and his love of the works of Bruce Springsteen,Gurinder Chadha
Hustlers(2019),follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients,Lorene Scafaria
Little Women(2019),"Jo March reflects back and forth on her life, telling the beloved story of the March sisters",Greta Gerwig
Charlie's Angels(2019),new generation of Angels who are working for a private detective agency named the Townsend Agency,Elizabeth Banks
After Parkland(2019),an intimate chronicle of families as they navigate their way through the unthinkable,Emily Taguchi
Harriet(2019),Based on the thrilling and inspirational life of an iconic American freedom fighter Harriet Tubman a slave ,Kasi Lemmons
Honey Boy(2019),based on Byron Bowers childhood and his relationship with his father,Alma Har'el
Family(2013),The film follows a Mafia family in the witness protection program who want to change their lives,Laura Steinel
Always Be My Maybe(2019),"Reunited after 15 years, famous chef Sasha and hometown musician Marcus feel the old sparks of attraction",Nahnatchka Khan
Late Night(2019), It stars Emma Thompson as a popular TV host who hires a new writer (Kaling) to keep from getting replaced,Nisha Ganatra
The Farewell(2019),A headstrong Chinese-American woman returns to China when her beloved grandmother is diagnosed with  cancer,Lulu Wang
A Dog's Journey(2019),The film is based on the 2012 novel of the same name by Cameron,Gail Mancuso
Breakthrough(2019),an account of true events written by Joyce Smith with Ginger Kolbaba,Roxann Dawson
Poms(2019),The film follows a group of women from a retirement community who decide to start a cheerleading squad.,Zara Hayes
Nancy Drew & the Hidden Staircase(2019),"Nancy accompanies her father on a trip to L.A, hoping to get clues to a murder mystery involving a movie star",Katt Shea
Otherhood(2019),A celebratory comedy about three mothers and their adult sons. The film explores the stage after motherhood,Cindy Chupack
Little Woods(2018),"The plot for Little Woods is pretty simple, its about Ollie and her sister Deb and the struggles they're facing",Nia DaCosta
The Banana Splits Movie(2019),"The Banana Splits is a fun-filled, cacophony of zany deaths and characters",Danishka Esterhazy
Hala(2019),A 17-year-old Pakistani American teenager struggles to balance desire with her cultural and religious obligations,Minhal Baig
Unicorn Store(2017),"After failing out of art school and taking a humdrum office job, a whimsical painter gets a chance to fulfill her dream",Brie Larson
I'm Not Here(2017),a movie that follows the lead character Steve throughout three time periods of his life in a journey through alcoholism,Michelle Schumacher
Braid(2018),Two wanted women decide to rob their wealthy psychotic friend who lives in the fantasy world they created as kids,Mitzi Peirone
The Souvenir(2019),a beautiful portrayal of a friendship between two people from different generations, Joanna Hogg
Tall Girl(2019),a heartfelt and hilarious coming-of-age story about finding the confidence to stop slouching and stand tall,Nzingha Stewart
Abominable(2019),The adventure is exciting without getting too harrowing and the characters are likeable enough,Jill Culton
The Kids are All Right(2010),2 teenaged kids get the notion to seek out their father and introduce him to the family life that their mothers have built ,Lisa Cholodenko
The Matrix(1999),a computer hacker learns from mysterious rebels about the nature of his reality/role in a war against the controllers of it,Lana and Lilly Wachowski
Boys Don’t Cry(1999),illustrates the violent intolerance and cruelty that humans can display towards others who appear different,Kimberly Peirce
Morvern Callar(2002),Out of the ordinary film about a somewhat whacked out young woman Morvern Callar,Lynne Ramsay
 The Hitch-Hiker(1953),two fishing buddies who pick up a mysterious hitchhiker during a trip to Mexico.,Ida Lupino
American Psycho(2000),Psycho follows the life of wealthy young investment banker Patrick Bateman,Mary Harron
35 Shots of Rum(2008),tells the story of a father-daughter relationship complicated by the arrival of an attractive young man,Claire Denis
The Beaches of Agnes(2008),"an autobiographical essay where Varda revisits places from her past,reminisces about life.",Agnès Varda
Somewhere(2010),"The film follows Johnny Marco (played by Stephen Dorff), a newly famous actor",Sofia Coppola
The Silences of the Palace(1994),"a film investigates issues of gender,class and sexuality in the Arab world through the lives of two generations of women",Moufida Tlatli
On Body and Soul(2017),The story revolves around a CFO of a slaughterhouse and the newly appointed meat quality inspector,Ildikó Enyedi
Whale Rider(2002),a film about the coming of age of a 12 year old New Zealand girl and her struggle for acceptance of her father,Niki Caro